Origin,x1,y1,Destination,x2,y2,Travel Time (min),Total Distance (miles)
1,43.07137151,-83.72854989,1,43.016299427739,-83.69105820587,13,5.2
2,43.0711208,-83.72161168,2,43.016299427739,-83.69105820587,12,5.4
3,43.07363111,-83.71838773,3,43.016299427739,-83.69105820587,11,5.0
4,43.07355982,-83.71012981,4,43.016299427739,-83.69105820587,10,4.4
5,43.0736404,-83.70016043,5,43.016299427739,-83.69105820587,10,4.3
6,43.07022455,-83.70991022,6,43.016299427739,-83.69105820587,10,4.1
7,43.07019641,-83.70010655,7,43.016299427739,-83.69105820587,10,4.1
8,43.06405083,-83.72863025,8,43.016299427739,-83.69105820587,N.A.,N.A.
9,43.06416702,-83.72105477,9,43.016299427739,-83.69105820587,10,4.3
10,43.06412971,-83.71609711,10,43.016299427739,-83.69105820587,9,4.1
11,43.06480858,-83.70993512,11,43.016299427739,-83.69105820587,9,3.8
12,43.06763553,-83.70007696,12,43.016299427739,-83.69105820587,10,3.9
13,43.06382964,-83.69968754,13,43.016299427739,-83.69105820587,N.A.,N.A.
14,43.05736948,-83.73203263,14,43.0436067943,-83.71322017588,4,2.0
15,43.05788656,-83.72613556,15,43.0436067943,-83.71322017588,4,1.6
16,43.05740074,-83.71859541,16,43.0436067943,-83.71322017588,4,1.4
17,43.05757493,-83.71173867,17,43.0436067943,-83.71322017588,3,1.2
18,43.0575137,-83.70730537,18,43.0436067943,-83.71322017588,3,1.3
19,43.05759584,-83.7022993,19,43.016299427739,-83.69105820587,7,3.2
20,43.05760577,-83.69679271,20,43.016299427739,-83.69105820587,N.A.,N.A.
21,43.05214766,-83.72840663,21,43.0436067943,-83.71322017588,N.A.,N.A.
22,43.05223698,-83.71845445,22,43.0436067943,-83.71322017588,3,1.1
23,43.04841029,-83.71594855,23,43.0436067943,-83.71322017588,10,0.5
24,43.04832855,-83.72833538,24,43.0436067943,-83.71322017588,3,1.1
25,43.04837546,-83.72089316,25,43.0436067943,-83.71322017588,2,0.8
26,43.04956158,-83.70605123,26,43.0436067943,-83.71322017588,3,0.9
27,43.05189349,-83.69920384,27,43.054632741138,-83.68490300287,3,0.9
28,43.04236282,-83.73036806,28,43.0436067943,-83.71322017588,3,1.0
29,43.04227934,-83.72467648,29,43.0436067943,-83.71322017588,2,0.7
30,43.04273778,-83.71765026,30,43.0436067943,-83.71322017588,N.A.,N.A.
31,43.03656605,-83.72454643,31,43.0436067943,-83.71322017588,N.A.,N.A.
32,43.03500662,-83.71663287,32,43.0436067943,-83.71322017588,2,1.0
33,43.04513856,-83.70904137,33,43.0436067943,-83.71322017588,8,0.4
34,43.04129819,-83.70891645,34,43.0436067943,-83.71322017588,9,0.4
35,43.03739891,-83.70881287,35,43.017059300496,-83.6871113452,7,2.1
36,43.03345574,-83.70872324,36,43.017059300496,-83.6871113452,6,1.8
37,43.04401176,-83.69789402,37,43.054632741138,-83.68490300287,4,1.4
38,43.04212651,-83.70118414,38,43.054632741138,-83.68490300287,5,1.7
39,43.03791884,-83.6991061,39,43.017059300496,-83.6871113452,7,2.0
40,43.03334934,-83.69906431,40,43.017059300496,-83.6871113452,6,1.8
41,43.02767413,-83.71481955,41,43.007316309507,-83.72792460287,5,2.2
42,43.03410457,-83.73327836,42,43.007316309507,-83.72792460287,7,2.4
43,43.03113255,-83.72470297,43,43.007316309507,-83.72792460287,6,2.2
44,43.02932342,-83.71929366,44,43.007316309507,-83.72792460287,6,2.5
45,43.028398,-83.73529099,45,43.007316309507,-83.72792460287,6,1.9
46,43.02626402,-83.72770081,46,43.007316309507,-83.72792460287,5,1.8
47,43.02475235,-83.72253667,47,43.007316309507,-83.72792460287,6,2.1
48,43.02269068,-83.71651755,48,43.007316309507,-83.72792460287,5,1.9
49,43.02814277,-83.7093835,49,43.017059300496,-83.6871113452,7,1.8
50,43.02816285,-83.70440917,50,43.017059300496,-83.6871113452,5,1.4
51,43.02634495,-83.69815836,51,43.017059300496,-83.6871113452,4,1.0
52,43.02365342,-83.71072161,52,43.017059300496,-83.6871113452,6,1.7
53,43.019455,-83.70389023,53,43.017059300496,-83.6871113452,5,1.3
54,43.01507719,-83.7094948,54,43.017059300496,-83.6871113452,6,1.5
55,43.01820975,-83.72695795,55,43.007316309507,-83.72792460287,4,1.6
56,43.01899799,-83.71842905,56,43.007316309507,-83.72792460287,4,1.7
57,43.01315355,-83.71682156,57,43.007316309507,-83.72792460287,3,1.1
58,43.01157691,-83.73333505,58,43.007316309507,-83.72792460287,N.A.,N.A.
59,43.010702,-83.72562807,59,43.007316309507,-83.72792460287,N.A.,N.A.
60,43.07222199,-83.68865138,60,43.054632741138,-83.68490300287,4,1.5
61,43.06723454,-83.68242518,61,43.054632741138,-83.68490300287,2,1.2
62,43.07252432,-83.66957042,62,43.054632741138,-83.68490300287,5,2.0
63,43.06613713,-83.66504333,63,43.054632741138,-83.68490300287,6,2.1
64,43.06787725,-83.65463208,64,43.054632741138,-83.68490300287,7,2.3
65,43.05732261,-83.66167686,65,43.054632741138,-83.68490300287,7,2.4
66,43.05332547,-83.65716792,66,43.036421214828,-83.66481613171,5,1.7
67,43.05757948,-83.68798158,67,43.054632741138,-83.68490300287,8,0.4
68,43.04833813,-83.6904875,68,43.054632741138,-83.68490300287,2,0.7
69,43.04723069,-83.66918593,69,43.054632741138,-83.68490300287,5,1.6
70,43.04045881,-83.67328097,70,43.054632741138,-83.68490300287,N.A.,N.A.
71,43.04066043,-83.6678864,71,43.054632741138,-83.68490300287,5,1.9
72,43.03568554,-83.66777367,72,43.036421214828,-83.66481613171,5,0.2
73,43.0351898,-83.67602171,73,43.017059300496,-83.6871113452,5,1.6
74,43.03444005,-83.66022928,74,43.036421214828,-83.66481613171,9,0.4
75,43.04412905,-83.66155687,75,43.036421214828,-83.66481613171,5,1.5
76,43.03772964,-83.66023924,76,43.036421214828,-83.66481613171,9,0.4
77,43.04722715,-83.65532516,77,43.036421214828,-83.66481613171,4,1.3
78,43.04680196,-83.64807744,78,43.036421214828,-83.66481613171,5,1.6
79,43.04697355,-83.64066752,79,43.036421214828,-83.66481613171,6,2.0
80,43.0279505,-83.67919883,80,43.011469726656,-83.64206736054,8,4.2
81,43.0311639,-83.67261067,81,43.017059300496,-83.6871113452,5,1.6
82,43.02882227,-83.66745294,82,43.017059300496,-83.6871113452,6,1.7
83,43.02944674,-83.6632703,83,43.036421214828,-83.66481613171,6,0.6
84,43.02934418,-83.65839328,84,43.036421214828,-83.66481613171,3,0.8
85,43.0383294,-83.6508707,85,43.036421214828,-83.66481613171,4,1.5
86,43.0399096,-83.64057147,86,43.036421214828,-83.66481613171,6,1.9
87,43.03489922,-83.64185933,87,43.036421214828,-83.66481613171,5,1.5
88,43.02940964,-83.64523092,88,43.036421214828,-83.66481613171,4,1.5
89,43.00953358,-83.68773556,89,43.017059300496,-83.6871113452,3,0.7
90,43.01750619,-83.68971083,90,43.011469726656,-83.64206736054,8,3.1
91,43.00931277,-83.69419899,91,43.017059300496,-83.6871113452,5,0.8
92,43.02124094,-83.67830557,92,43.011469726656,-83.64206736054,8,2.7
93,43.01353039,-83.67651678,93,43.011469726656,-83.64206736054,5,2.2
94,43.02150225,-83.66727719,94,43.011469726656,-83.64206736054,7,2.1
95,43.02204553,-83.65807468,95,43.011469726656,-83.64206736054,5,1.7
96,43.01492349,-83.66397378,96,43.011469726656,-83.64206736054,6,2.0
97,43.0070194,-83.63941041,97,43.011469726656,-83.64206736054,10,0.4
98,43.01611904,-83.64542681,98,43.011469726656,-83.64206736054,16,1.0
99,43.00782806,-83.67334719,99,43.011469726656,-83.64206736054,5,1.9
100,43.00632894,-83.66526341,100,43.011469726656,-83.64206736054,5,1.7
101,43.00808312,-83.65908453,101,43.011469726656,-83.64206736054,4,1.2
102,43.00233335,-83.66546336,102,43.011469726656,-83.64206736054,N.A.,N.A.
103,42.99591257,-83.66598689,103,42.995593019239,-83.65316274308,4,1.4
104,42.99153398,-83.65779043,104,42.995593019239,-83.65316274308,11,0.5
105,43.00038511,-83.64855592,105,42.995593019239,-83.65316274308,13,1.1
106,42.99322384,-83.6489538,106,42.995593019239,-83.65316274308,N.A.,N.A.
107,42.98486418,-83.67566853,107,42.995593019239,-83.65316274308,5,1.9
108,42.98613166,-83.66573699,108,42.995593019239,-83.65316274308,4,1.4
109,42.98552324,-83.65714521,109,42.995593019239,-83.65316274308,4,1.4
110,43.00452758,-83.7371445,110,42.991224628669,-83.69350637589,9,3.9
111,43.00464639,-83.72865255,111,42.991224628669,-83.69350637589,8,3.2
112,42.99910789,-83.73506559,112,42.991224628669,-83.69350637589,7,3.4
113,42.99951044,-83.72801469,113,42.991224628669,-83.69350637589,8,3.3
114,42.99624173,-83.72690717,114,42.991224628669,-83.69350637589,7,3.2
115,42.99456444,-83.7189466,115,42.991224628669,-83.69350637589,6,2.9
116,43.00346682,-83.71318371,116,42.991224628669,-83.69350637589,5,2.4
117,43.0071044,-83.71805392,117,43.007316309507,-83.72792460287,2,0.6
118,43.00644777,-83.70276269,118,42.991224628669,-83.69350637589,4,1.8
119,43.00135203,-83.71894201,119,42.991224628669,-83.69350637589,6,2.7
120,43.00357999,-83.68484318,120,43.017059300496,-83.6871113452,4,1.2
121,42.99752106,-83.6787306,121,42.995593019239,-83.65316274308,5,2.2
122,42.99677297,-83.68937527,122,42.995593019239,-83.65316274308,8,3.2
123,42.99103759,-83.68568989,123,42.995593019239,-83.65316274308,6,2.2
124,42.98732491,-83.68797939,124,42.995593019239,-83.65316274308,5,2.3
125,42.98275272,-83.68837476,125,42.995593019239,-83.65316274308,6,2.8
126,42.98936808,-83.69859489,126,42.991224628669,-83.69350637589,N.A.,N.A.
127,42.99358463,-83.70473434,127,42.991224628669,-83.69350637589,3,1.4
128,42.98471737,-83.69580963,128,42.991224628669,-83.69350637589,7,0.6
129,42.98647722,-83.70214319,129,42.991224628669,-83.69350637589,3,0.9
130,42.98407288,-83.70735535,130,42.991224628669,-83.69350637589,3,1.2
131,43.03296645,-83.68936343,131,43.017059300496,-83.6871113452,5,1.9
132,42.96667535,-83.74286032,132,42.991224628669,-83.69350637589,9,4.4
133,43.04836633,-83.67989504,133,43.054632741138,-83.68490300287,4,1.2
